Year	Type	Sequence	Source
Y4	LARGE	000000400000004000000	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y5	MEDIUM	00000000404404	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y3	LARGE	000003044040240402	F47.seq
Y4	MEDIUM	00000000000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y4	MEDIUM	000004440	F47.seq
Y5	MEDIUM	000000000000	F47.seq
Y4	MEDIUM	00000	F47.seq
Y5	MEDIUM	0000	F47.seq
Y3	MEDIUM	000000003044000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y3	LARGE	0000333300234332304000	F47.seq
Y4	MEDIUM	00000	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y4	MEDIUM	000000000	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y4	MEDIUM	000430404400	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	0000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	0000	F47.seq
Y1	LARGE	000000022411431004004004044444444003000	F47.seq
Y2	MEDIUM	000000031042004000000	F47.seq
Y3	LARGE	003030000433303304303300	F47.seq
Y4	LARGE	000000000004444044000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y3	LARGE	0000000000003000000000303000	F47.seq
Y4	LARGE	0000444440040000000	F47.seq
Y5	MEDIUM	0000	F47.seq
Y5	MEDIUM	000000000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y3	LARGE	000000003033033330330000000	F47.seq
Y3	LARGE	000000000000000330233000	F47.seq
Y5	MEDIUM	0000	F47.seq
Y4	MEDIUM	00000040404000	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y4	MEDIUM	000004404000	F47.seq
Y3	LARGE	00000030000000003300030030000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y4	MEDIUM	030000400	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y3	LARGE	000300030330303330303000330300000	F47.seq
Y4	LARGE	000000044044444000000	F47.seq
Y5	MEDIUM	0000000000	F47.seq
Y4	MEDIUM	000300000	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y4	MEDIUM	000000000	F47.seq
Y4	LARGE	000000000000440043330	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	00000000000444000	F47.seq
Y5	LARGE	0000000000000000	F47.seq
Y5	MEDIUM	0000	F47.seq
Y4	MEDIUM	0000000000000000	F47.seq
Y5	MEDIUM	000000000000002	F47.seq
Y5	MEDIUM	0000000000000000	F47.seq
Y3	LARGE	0003003333323320000000	F47.seq
Y3	MEDIUM	000000000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	0000	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y4	MEDIUM	000040444004000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	000000000	F47.seq
Y4	MEDIUM	0000000000	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y3	MEDIUM	0030000000	F47.seq
Y4	MEDIUM	0000004040000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	000000000	F47.seq
Y1	LARGE	0000003230033000120100000000000000404004000000	F47.seq
Y2	LARGE	000304400444444000	F47.seq
Y2	MEDIUM	000000000403000	F47.seq
Y3	LARGE	000333333334043000	F47.seq
Y4	MEDIUM	00030000440	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y4	MEDIUM	0033000000000	F47.seq
Y4	MEDIUM	0000000244300	F47.seq
Y4	MEDIUM	000033303030030	F47.seq
Y4	MEDIUM	00000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y3	LARGE	003030030303333303004000000	F47.seq
Y4	LARGE	00000000004440440400	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y4	MEDIUM	000040000	F47.seq
Y4	MEDIUM	000044400	F47.seq
Y5	MEDIUM	000000	F47.seq
Y2	LARGE	00000044440400404002000	F47.seq
Y4	MEDIUM	000000004000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y4	MEDIUM	00004004003000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	0000000000000	F47.seq
Y3	LARGE	0000303333033030000	F47.seq
Y4	MEDIUM	0000000400000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y3	LARGE	00003330330333203333033000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	000000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y3	MEDIUM	00303300	F47.seq
Y4	MEDIUM	000000044040040400	F47.seq
Y5	MEDIUM	0000000000000000	F47.seq
Y3	MEDIUM	0003303000	F47.seq
Y4	MEDIUM	000000000	F47.seq
Y3	MEDIUM	00030	F47.seq
Y4	MEDIUM	0000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	000000000	F47.seq
Y3	LARGE	000030330330300303000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	000404000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	000000000000	F47.seq
Y4	LARGE	00000000000444400000	F47.seq
Y5	LARGE	0000000000000000000000000	F47.seq
Y3	LARGE	0003033330430403000	F47.seq
Y4	MEDIUM	00000404400	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y3	MEDIUM	0033333333330000	F47.seq
Y4	MEDIUM	000004000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y2	MEDIUM	000034400	F47.seq
Y2	MEDIUM	000003030300	F47.seq
Y3	MEDIUM	0000303330000	F47.seq
Y4	MEDIUM	00000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y1	LARGE	00004324402030200404444400000004044000040000000000030230003200	F47.seq
Y2	LARGE	00002422444444400	F47.seq
Y2	MEDIUM	000000300	F47.seq
Y3	LARGE	00030030030320200	F47.seq
Y4	MEDIUM	000040000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y3	LARGE	000003033030330330300	F47.seq
Y4	MEDIUM	00000	F47.seq
Y4	MEDIUM	0000003000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y2	MEDIUM	0000300	F47.seq
Y5	MEDIUM	00000	F47.seq
Y2	MEDIUM	000030330300	F47.seq
Y3	LARGE	0003300333333030300000000000	F47.seq
Y4	MEDIUM	000004044400444000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	00000000000	F47.seq
Y5	LARGE	00000000000000000000	F47.seq
Y2	MEDIUM	000000000	F47.seq
Y3	MEDIUM	00000000	F47.seq
Y4	MEDIUM	00003000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y2	MEDIUM	40000	F47.seq
Y4	MEDIUM	00000000000	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y3	MEDIUM	0000000	F47.seq
Y4	MEDIUM	0000034040000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y2	LARGE	0000000000000000001202030	F47.seq
Y3	LARGE	0000333433300330000000300	F47.seq
Y4	LARGE	00000004404440400300000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y5	MEDIUM	00000000000000	F47.seq
Y4	MEDIUM	000000000	F47.seq
Y5	LARGE	00000000000000000	F47.seq
Y3	MEDIUM	00000303404030000	F47.seq
Y4	MEDIUM	0000404000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y3	LARGE	0033030330330400000000	F47.seq
Y4	LARGE	0000000040440000000	F47.seq
Y5	MEDIUM	0000000000	F47.seq
Y5	MEDIUM	000000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y3	MEDIUM	0000000000	F47.seq
Y3	MEDIUM	003030333302000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y4	MEDIUM	000030000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y2	MEDIUM	0000300003004000000000	F47.seq
Y2	LARGE	0000000000000004222230	F47.seq
Y3	MEDIUM	000000003030	F47.seq
Y3	MEDIUM	0000440000000	F47.seq
Y4	MEDIUM	0000303300	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y3	MEDIUM	000000000	F47.seq
Y4	MEDIUM	000040444004044000	F47.seq
Y4	MEDIUM	00030030000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y4	MEDIUM	00000000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y3	MEDIUM	000000300	F47.seq
Y3	MEDIUM	0003300	F47.seq
Y3	LARGE	00033333303233000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y4	MEDIUM	0003040000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y3	MEDIUM	00003300	F47.seq
Y4	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y3	MEDIUM	00000000	F47.seq
Y4	MEDIUM	0000000000	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y4	MEDIUM	000000000	F47.seq
Y4	MEDIUM	000003	F47.seq
Y4	MEDIUM	00003	F47.seq
Y4	MEDIUM	00000000	F47.seq
Y2	MEDIUM	0000000040440330	F47.seq
Y3	MEDIUM	000000000000	F47.seq
Y4	MEDIUM	0000300400000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y2	MEDIUM	00000000440000	F47.seq
Y3	LARGE	003334303030000	F47.seq
Y3	MEDIUM	0000033000	F47.seq
Y4	LARGE	00000003004444044040000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y2	LARGE	00003003033330000000400003000	F47.seq
Y3	LARGE	000000303300303300000	F47.seq
Y4	MEDIUM	0000000000400404400	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	000003004000	F47.seq
Y5	MEDIUM	0000000000000000	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y4	MEDIUM	00000000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y3	LARGE	003303303330300000	F47.seq
Y4	LARGE	0000000040000340000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	0000000000000000003	F47.seq
Y5	MEDIUM	00000	F47.seq
Y2	LARGE	0000000333203000000300000	F47.seq
Y2	LARGE	000000040040433	F47.seq
Y3	LARGE	00000030330300303000	F47.seq
Y4	LARGE	0000000340440400000	F47.seq
Y3	MEDIUM	0000000000033000000000	F47.seq
Y4	MEDIUM	0000404044004000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	0000000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y4	MEDIUM	033330300	F47.seq
Y5	MEDIUM	000000000000	F47.seq
Y4	MEDIUM	00000340400000	F47.seq
Y5	MEDIUM	0000000000	F47.seq
Y5	MEDIUM	000000000000	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y2	LARGE	000000030030220404004000030	F47.seq
Y2	LARGE	000020304444403200	F47.seq
Y3	MEDIUM	0000003033033000	F47.seq
Y4	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y3	MEDIUM	00000000303300	F47.seq
Y4	LARGE	0000000030040440040004000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000000000000	F47.seq
Y3	MEDIUM	0000003033	F47.seq
Y4	MEDIUM	000004	F47.seq
Y5	MEDIUM	000000000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y4	MEDIUM	00000000	F47.seq
Y5	MEDIUM	0000000000000000	F47.seq
Y4	MEDIUM	000034040000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	0000000000000000	F47.seq
Y3	MEDIUM	00003333330000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y4	MEDIUM	00000000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	000000000000	F47.seq
Y2	LARGE	00030330304000300000000000000000	F47.seq
Y3	LARGE	0303323303000000000000	F47.seq
Y4	LARGE	000000004044040000000	F47.seq
Y5	MEDIUM	000000000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y4	MEDIUM	00000000	F47.seq
Y5	MEDIUM	0000000000000000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	00000000	F47.seq
Y2	LARGE	000033333400000000300000	F47.seq
Y3	LARGE	00330	F47.seq
Y4	MEDIUM	00004203334000033220	F47.seq
Y4	MEDIUM	00000004000400	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y5	MEDIUM	00000000000000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y4	MEDIUM	000000000000000	F47.seq
Y5	MEDIUM	00000000000000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y2	LARGE	000033020340000000044430000	F47.seq
Y3	LARGE	0303330000300000000000	F47.seq
Y4	MEDIUM	0000340040000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y3	MEDIUM	00000000000000000	F47.seq
Y5	MEDIUM	0000000000000000000	F47.seq
Y4	MEDIUM	0003443440400	F47.seq
Y5	LARGE	0000000000000000000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	00000430400300	F47.seq
Y5	MEDIUM	0000000000000000	F47.seq
Y5	MEDIUM	0000000000000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y2	MEDIUM	00300200	F47.seq
Y3	LARGE	000303333030000030000000	F47.seq
Y4	LARGE	0000000440444344000000	F47.seq
Y5	MEDIUM	0000000000000	F47.seq
Y4	MEDIUM	000030330030000	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y2	LARGE	0000333303433320430403004000000000330000040400200	F47.seq
Y3	MEDIUM	00303300003000000	F47.seq
Y4	MEDIUM	00000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	0000000000000000	F47.seq
Y4	LARGE	000000044404340040	F47.seq
Y5	MEDIUM	0000000000000000	F47.seq
Y4	MEDIUM	0000003000000	F47.seq
Y3	MEDIUM	00000000	F47.seq
Y4	MEDIUM	00030000	F47.seq
Y5	LARGE	000000000000000000	F47.seq
Y4	MEDIUM	00000044040	F47.seq
Y5	MEDIUM	000000000000002	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	00000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	0000000000400000	F47.seq
Y5	LARGE	0000000000000000000	F47.seq
Y4	LARGE	000003344044444030000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	000000000000000000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000000000000	F47.seq
Y2	MEDIUM	00333300	F47.seq
Y4	LARGE	0000004444444404000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000000000000000	F47.seq
Y2	MEDIUM	00003032032	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y4	MEDIUM	0000004000000	F47.seq
Y5	MEDIUM	0000000000	F47.seq
Y4	MEDIUM	000000400	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	00000000	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y4	LARGE	003000033330020303320	F47.seq
Y4	MEDIUM	000030440004000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	LARGE	0000003430444440000000	F47.seq
Y5	MEDIUM	000000000000000000	F47.seq
Y3	MEDIUM	0000000303000003331	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	LARGE	000000044444444044000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y2	LARGE	000033033040004004004004000000000000340344440000	F47.seq
Y3	LARGE	0000030440404403000001	F47.seq
Y4	LARGE	0000304400004044000	F47.seq
Y5	MEDIUM	000000000	F47.seq
Y4	MEDIUM	000000000	F47.seq
Y5	MEDIUM	00000000000000000	F47.seq
Y4	MEDIUM	0000340000	F47.seq
Y5	MEDIUM	000000000000000000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	0000000340443000	F47.seq
Y5	LARGE	0000000000000000000	F47.seq
Y4	MEDIUM	00304444400	F47.seq
Y5	MEDIUM	000000000000000	F47.seq
Y5	MEDIUM	0000000033000	F47.seq
Y5	MEDIUM	000000000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y3	MEDIUM	00303000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y3	MEDIUM	00000300000003000	F47.seq
Y4	LARGE	000000004044440400000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	000030000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000000000000	F47.seq
Y3	LARGE	00000000333333332230030003000	F47.seq
Y4	LARGE	000000300004004004002000	F47.seq
Y5	MEDIUM	00000000000000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	000000000000000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y4	MEDIUM	000000000000	F47.seq
Y5	MEDIUM	000000000000000000	F47.seq
Y4	MEDIUM	0000000000000000	F47.seq
Y5	MEDIUM	0000000000000000	F47.seq
Y5	MEDIUM	000000000000000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y3	LARGE	00303300003003000	F47.seq
Y4	LARGE	0000000440444404400000	F47.seq
Y5	MEDIUM	00000000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	000000404000	F47.seq
Y5	MEDIUM	0000000000000000000	F47.seq
Y4	MEDIUM	0000030300300300000	F47.seq
Y4	LARGE	00000004004044040440	F47.seq
Y5	MEDIUM	0000000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	00000004033000	F47.seq
Y4	LARGE	00040040404440000	F47.seq
Y5	MEDIUM	000000000000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	000000000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y4	LARGE	0000000040444444440000000	F47.seq
Y5	MEDIUM	000000000000000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	LARGE	0000004040440044440000	F47.seq
Y5	MEDIUM	000000000000000	F47.seq
Y3	MEDIUM	000000000	F47.seq
Y4	MEDIUM	00000000333000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y4	MEDIUM	0000000033300	F47.seq
Y5	MEDIUM	000000000000000000	F47.seq
Y5	MEDIUM	00000000	F47.seq
Y5	MEDIUM	0000000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
Y4	MEDIUM	00000000000000	F47.seq
Y5	MEDIUM	0000000000030000	F47.seq
Y4	MEDIUM	000000	F47.seq
Y5	MEDIUM	000000	F47.seq
Y5	MEDIUM	00000	F47.seq
